,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Iqaluit,63.7506,-68.5145,250.37,77,1,8.75,CA,1612052891
1,Pinega,64.7001,43.3936,262.2,97,93,2.26,RU,1612053016
2,Rikitea,-23.1203,-134.9692,299.44,73,16,5.01,PF,1612052916
3,Sisimiut,66.9395,-53.6735,258.87,90,74,3.42,GL,1612053016
4,Kavieng,-2.5744,150.7967,301.65,73,99,6.58,PG,1612052834
5,Hong Kong,22.2855,114.1577,290.37,63,0,0.89,HK,1612052897
6,Beyneu,45.3167,55.2,274.21,93,100,4.9,KZ,1612053017
7,Busselton,-33.65,115.3333,293.71,63,0,0.89,AU,1612053017
8,Bluff,-46.6,168.3333,287.37,66,100,2.03,NZ,1612052847
9,Kirakira,-10.4544,161.9205,301.99,79,99,6.6,SB,1612053017
10,‘Āhuimanu,21.4447,-157.8378,300.15,65,75,6.17,US,1612052851
11,Kahului,20.8947,-156.47,299.15,57,40,8.23,US,1612053018
12,Pevek,69.7008,170.3133,237.1,84,3,1.56,RU,1612052608
13,Barrow,71.2906,-156.7887,249.15,70,90,3.09,US,1612053018
14,Kapaa,22.0752,-159.319,299.15,65,75,6.69,US,1612052817
15,Lompoc,34.6391,-120.4579,286.48,67,1,5.66,US,1612052893
16,Mayo,38.8876,-76.5119,272.04,59,1,1.94,US,1612052786
17,Atuona,-9.8,-139.0333,299.44,73,27,7.77,PF,1612052781
18,Dingle,10.9995,122.6711,298.72,80,87,7.23,PH,1612053018
19,Punta Arenas,-53.15,-70.9167,284.15,62,0,11.83,CL,1612053010
20,Korla,41.7597,86.1469,266.05,84,0,2.06,CN,1612052880
21,Mataura,-46.1927,168.8643,293.76,42,83,1.06,NZ,1612052911
22,Dikson,73.5069,80.5464,236.13,80,0,3.24,RU,1612052832
23,Ushuaia,-54.8,-68.3,284.15,62,20,9.77,AR,1612053019
24,Constitución,-35.3333,-72.4167,288.48,93,34,3.78,CL,1612053019
25,Oktyabr'skiy,54.4815,53.471,269.57,98,100,3.09,RU,1612053020
26,Saskylakh,71.9167,114.0833,236.31,82,100,4.75,RU,1612052824
27,Hithadhoo,-0.6,73.0833,300.71,79,65,6.73,MV,1612052795
28,Hermanus,-34.4187,19.2345,292.59,83,2,4.27,ZA,1612052597
29,Rawson,-43.3002,-65.1023,289.07,59,22,6.62,AR,1612053020
30,Lavrentiya,65.5833,-171.0,246.35,84,0,2.61,RU,1612053020
31,Albany,42.6001,-73.9662,264.82,59,11,4.47,US,1612052928
32,Avarua,-21.2078,-159.775,302.15,70,75,2.06,CK,1612052792
33,Aiken,33.5835,-81.5998,280.37,52,75,3.09,US,1612053021
34,Chui,-33.6971,-53.4616,296.55,79,47,6.65,UY,1612052832
35,Makkah al Mukarramah,21.4267,39.8261,292.44,43,0,2.49,SA,1612052821
36,Saint Anthony,45.0205,-93.218,273.15,74,90,4.12,US,1612053021
37,Naze,28.3667,129.4833,289.15,55,40,4.12,JP,1612053022
38,Saint Paul Harbor,57.79,-152.4072,274.15,55,1,10.29,US,1612053022
39,Cape Town,-33.9258,18.4232,294.82,77,75,2.57,ZA,1612052291
40,Faanui,-16.4833,-151.75,300.49,71,78,3.4,PF,1612052794
41,Yangi Marg`ilon,40.4272,71.7189,275.15,44,100,1.03,UZ,1612052853
42,Chokurdakh,70.6333,147.9167,238.93,85,0,3.71,RU,1612053022
43,Buala,-8.145,159.5921,302.87,71,98,7.19,SB,1612052824
44,Port Alfred,-33.5906,26.891,289.82,93,0,0.79,ZA,1612053023
45,Sola,-13.8833,167.55,304.15,70,75,2.57,VU,1612052855
46,Sechura,-5.5569,-80.8222,299.04,60,17,7.65,PE,1612053023
47,Kalmunai,7.4167,81.8167,297.8,86,89,2.34,LK,1612052875
48,Vanimo,-2.6741,141.3028,301.5,74,100,3.18,PG,1612052796
49,Chapais,49.7834,-74.8492,253.15,77,90,3.09,CA,1612053023
50,Clyde River,70.4692,-68.5914,250.15,84,90,2.57,CA,1612052996
51,Grakhovo,56.0502,51.9676,271.15,86,75,5.0,RU,1612053024
52,Ribeira Grande,38.5167,-28.7,290.47,91,63,9.59,PT,1612052909
53,Sitka,57.0531,-135.33,278.15,52,75,2.06,US,1612052823
54,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,299.26,68,100,0.89,AR,1612053024
55,Alice Springs,-23.7,133.8833,304.15,22,42,7.2,AU,1612052864
56,Cayenne,4.9333,-52.3333,300.15,89,75,4.12,GF,1612052842
57,Kānt,27.8,79.8,280.02,58,0,2.26,IN,1612053025
58,Bredasdorp,-34.5322,20.0403,292.59,83,2,3.2,ZA,1612052829
59,Maceió,-9.6658,-35.7353,297.15,94,40,1.54,BR,1612052894
60,Mahébourg,-20.4081,57.7,299.15,83,40,3.6,MU,1612052810
61,Khani,41.9563,42.9566,278.15,75,0,4.63,GE,1612053026
62,Butaritari,3.0707,172.7902,300.54,77,59,8.28,KI,1612052837
63,Lubumbashi,-11.6609,27.4794,290.16,94,70,0.74,CD,1612053026
64,Yellowknife,62.456,-114.3525,248.15,77,20,2.06,CA,1612052800
65,Saint George,37.1041,-113.5841,283.15,50,1,0.63,US,1612053004
66,Cherskiy,68.75,161.3,235.76,83,0,0.43,RU,1612053026
67,Boguchany,58.3814,97.4531,231.8,76,20,0.8,RU,1612053027
68,Geraldton,-28.7667,114.6,306.15,25,0,9.26,AU,1612053027
69,Acarí,-15.4311,-74.6158,296.29,58,100,1.6,PE,1612053027
70,Bambous Virieux,-20.3428,57.7575,299.15,83,40,3.6,MU,1612053027
71,Torbay,47.6666,-52.7314,271.48,93,90,3.6,CA,1612053027
72,Natitingou,10.3042,1.3796,298.15,31,0,3.09,BJ,1612053028
73,San-Pédro,4.7485,-6.6363,298.77,91,12,3.08,CI,1612053028
74,Carnarvon,-24.8667,113.6333,302.15,79,6,2.57,AU,1612053028
75,Petropavlovsk-Kamchatskiy,53.0452,158.6483,271.15,50,99,6.0,RU,1612052861
76,Marsá Maţrūḩ,31.3525,27.2453,289.15,59,0,6.69,EG,1612053029
77,Kaitangata,-46.2817,169.8464,289.26,80,100,5.36,NZ,1612053029
78,Barcelona,41.3888,2.159,286.48,50,20,4.63,ES,1612052851
79,Arraial do Cabo,-22.9661,-42.0278,298.33,80,39,12.46,BR,1612052822
80,Mar del Plata,-38.0023,-57.5575,289.82,63,75,8.23,AR,1612052790
81,Barañáin,42.8057,-1.6773,280.37,100,75,0.51,ES,1612053029
82,Tukums,56.9669,23.1553,271.15,80,75,2.57,LV,1612053030
83,Jalu,29.0331,21.5482,288.25,44,0,4.94,LY,1612053030
84,Moose Factory,51.2585,-80.6094,252.15,84,1,2.06,CA,1612052890
85,Nantucket,41.2835,-70.0995,266.15,45,1,6.69,US,1612052872
86,Balyqshy,47.0667,51.8667,271.15,100,90,4.0,KZ,1612053030
87,Dudinka,69.4058,86.1778,235.4,77,0,3.28,RU,1612053030
88,Leningradskiy,69.3833,178.4167,239.96,81,4,1.04,RU,1612052881
89,Perth,-31.9333,115.8333,300.37,41,0,5.14,AU,1612053030
90,Saint-Philippe,-21.3585,55.7679,299.15,65,0,3.09,RE,1612053031
91,Harindānga,22.0383,88.3214,285.15,87,0,1.54,IN,1612053031
92,Puerto Ayora,-0.7393,-90.3518,298.71,90,38,2.68,EC,1612052781
93,Suleja,9.1758,7.1808,298.15,38,0,3.09,NG,1612052900
94,São Filipe,14.8961,-24.4956,296.14,63,96,5.08,CV,1612052845
95,Plérin,48.5425,-2.7798,282.59,99,100,1.79,FR,1612053032
96,Jamestown,42.097,-79.2353,265.15,86,1,1.54,US,1612052927
97,Lüderitz,-26.6481,15.1594,291.7,63,0,8.06,NA,1612053032
98,Flinders,-34.5833,150.8552,295.93,86,100,1.79,AU,1612053032
99,Qaanaaq,77.484,-69.3632,252.18,73,94,1.52,GL,1612052908
100,Sioux Lookout,50.1001,-91.917,268.15,86,90,2.57,CA,1612053033
101,Atar,20.5169,-13.0499,292.43,22,50,3.13,MR,1612052892
102,Wanning,18.8003,110.3967,294.38,80,54,5.09,CN,1612053033
103,Klaksvík,62.2266,-6.589,273.15,74,75,10.29,FO,1612052840
104,Provideniya,64.3833,-173.3,249.15,83,81,5.53,RU,1612052767
105,Diffa,13.3154,12.6113,292.43,26,17,4.76,NE,1612052880
106,Caravelas,-17.7125,-39.2481,297.24,85,0,2.27,BR,1612053033
107,Tuatapere,-46.1333,167.6833,292.5,45,100,0.35,NZ,1612053034
108,Bubaque,11.2833,-15.8333,299.43,62,96,5.68,GW,1612053034
109,Koygorodok,60.445,50.9968,266.77,96,2,3.61,RU,1612053034
110,Avera,33.194,-82.5271,282.15,46,1,3.6,US,1612053034
111,Vaini,-21.2,-175.2,303.15,79,75,6.17,TO,1612052830
112,Ilulissat,69.2167,-51.1,259.15,61,90,3.6,GL,1612052976
113,Solnechnyy,50.7214,136.6319,249.6,85,48,1.89,RU,1612053035
114,Fare,-16.7,-151.0167,300.7,70,9,2.66,PF,1612053035
115,Shingū,33.7333,135.9833,282.15,66,40,6.17,JP,1612052861
116,Thinadhoo,0.5333,72.9333,300.77,77,3,5.09,MV,1612053035
117,Pemangkat,1.1667,108.9667,298.38,87,100,4.84,ID,1612052877
118,Mehamn,71.0357,27.8492,269.1,96,100,9.63,NO,1612053036
119,Port Augusta,-32.5,137.7667,294.15,60,96,5.66,AU,1612052870
120,Teya,60.3778,92.6267,234.99,77,0,0.65,RU,1612053036
121,Los Llanos de Aridane,28.6585,-17.9182,291.15,77,90,5.66,ES,1612053036
122,Port Lincoln,-34.7333,135.8667,291.71,67,4,6.34,AU,1612052877
123,Samarai,-10.6167,150.6667,302.65,73,100,8.51,PG,1612053037
124,Airai,-8.9266,125.4092,289.96,100,100,2.42,TL,1612052933
125,Vallenar,-28.5708,-70.7581,291.75,62,0,0.7,CL,1612053037
126,Beloha,-25.1667,45.05,297.01,80,2,1.62,MG,1612052862
127,Belmonte,-15.8631,-38.8828,299.15,73,40,4.63,BR,1612052906
128,Helsinge,56.0228,12.1975,274.26,62,46,0.89,DK,1612053037
129,Nanortalik,60.1432,-45.2371,272.24,90,100,3.7,GL,1612052839
130,Hilo,19.7297,-155.09,300.15,54,75,4.12,US,1612052918
131,Fergus Falls,46.283,-96.0776,270.37,80,90,2.06,US,1612053038
132,Upernavik,72.7868,-56.1549,250.05,87,68,2.87,GL,1612052878
133,Duiwelskloof,-23.6934,30.14,293.09,92,27,0.67,ZA,1612053038
134,Hastings,50.8552,0.5729,277.04,81,81,4.02,GB,1612053038
135,Khatanga,71.9667,102.5,229.25,78,40,0.32,RU,1612053039
136,Narsaq,60.9167,-46.05,277.15,28,75,14.92,GL,1612052839
137,George Town,5.4112,100.3354,298.71,83,20,3.03,MY,1612053039
138,Thompson,55.7435,-97.8558,263.15,92,90,1.03,CA,1612053039
139,Sept-Îles,50.2001,-66.3821,266.15,63,51,3.09,CA,1612053039
140,Ust-Kuyga,70.0167,135.6,236.57,81,57,1.93,RU,1612053040
141,Auki,-8.7676,160.7034,301.16,82,100,5.7,SB,1612053040
142,Weligama,5.9667,80.4167,297.8,86,96,1.43,LK,1612053040
143,Deputatsky,69.3,139.9,240.63,88,83,0.65,RU,1612052919
144,Nikolskoye,59.7035,30.7861,269.82,93,75,2.0,RU,1612052829
145,Gillette,44.2911,-105.5022,274.15,75,90,4.12,US,1612052742
146,Mogadishu,2.0371,45.3438,296.87,84,16,7.46,SO,1612053041
147,Salinas,36.6777,-121.6555,287.15,67,90,5.14,US,1612052823
148,Ippy,6.2679,21.2247,296.16,23,90,2.54,CF,1612053041
149,Poum,-20.2333,164.0167,299.87,65,52,4.24,NC,1612052762
150,East London,-33.0153,27.9116,294.0,85,3,1.21,ZA,1612052827
151,Belaya Gora,68.5333,146.4167,239.87,85,100,1.13,RU,1612053041
152,Yambio,4.5721,28.3955,293.75,26,1,1.36,SS,1612053042
153,Goundam,16.4145,-3.6708,293.32,21,99,4.13,ML,1612053042
154,Arona,28.0996,-16.681,291.15,72,40,3.6,ES,1612053042
155,Castro,-24.7911,-50.0119,291.85,98,100,1.77,BR,1612052897
156,Sinnamary,5.3833,-52.95,298.77,86,100,6.85,GF,1612052921
157,Dul'durga,50.6761,113.5931,248.85,87,100,1.62,RU,1612053042
158,Morón,-34.6534,-58.6198,290.93,91,86,3.13,AR,1612053042
159,New Norfolk,-42.7826,147.0587,295.37,45,14,0.89,AU,1612052833
160,Ulladulla,-35.35,150.4667,293.15,94,90,4.63,AU,1612052793
161,Gympie,-26.1898,152.665,297.59,87,48,1.34,AU,1612052909
162,Labuhan,-6.8844,112.2051,299.3,84,81,3.0,ID,1612052802
163,Norman Wells,65.282,-126.8329,240.15,68,40,1.54,CA,1612052807
164,Yumen,40.2833,97.2,267.38,73,0,10.35,CN,1612053043
165,Kumul,42.8,93.45,266.9,85,0,2.24,CN,1612053043
166,Touros,-5.1989,-35.4608,299.15,83,20,2.06,BR,1612052845
167,Polson,47.6936,-114.1632,275.93,59,8,1.77,US,1612053044
168,Kinsale,51.7075,-8.5306,278.71,93,75,4.12,IE,1612053044
169,Jiaozuo,35.2397,113.2331,280.57,47,100,3.0,CN,1612053044
170,Srednekolymsk,67.45,153.6833,237.2,84,100,1.16,RU,1612052855
171,Ostrovnoy,68.0531,39.5131,263.45,95,100,3.34,RU,1612053044
172,Slidell,30.2752,-89.7812,291.15,77,90,3.6,US,1612053019
173,Beringovskiy,63.05,179.3167,259.4,94,100,12.59,RU,1612053045
174,Coyhaique,-45.5752,-72.0662,291.15,45,0,4.12,CL,1612053045
175,Imeni Poliny Osipenko,52.4201,136.4853,250.26,90,83,3.2,RU,1612053045
176,Pisco,-13.7,-76.2167,296.15,68,0,7.72,PE,1612053045
177,Kiunga,-6.1219,141.2906,299.36,94,94,0.95,PG,1612052924
178,Adrar,20.5022,-10.0711,292.11,24,40,3.4,MR,1612052965
179,Hobart,-42.8794,147.3294,295.37,40,20,5.14,AU,1612053015
180,Payo,-3.7508,103.6372,295.8,95,100,1.16,ID,1612052874
181,Tuktoyaktuk,69.4541,-133.0374,236.15,67,40,1.54,CA,1612053046
182,Hambantota,6.1241,81.1185,297.15,100,20,4.12,LK,1612052934
183,Manokwari,-0.8667,134.0833,299.21,84,100,6.24,ID,1612052850
184,Saravan,39.7196,45.6483,271.15,80,23,4.12,AM,1612053047
185,Bratsk,56.1325,101.6142,232.59,74,13,3.0,RU,1612053047
186,Ouésso,1.6136,16.0517,295.46,91,97,1.42,CG,1612053047
187,Ponta do Sol,32.6667,-17.1,288.15,74,70,1.34,PT,1612052835
188,Zliten,32.4674,14.5687,290.92,39,70,5.34,LY,1612053047
189,Ketchikan,55.3422,-131.6461,276.15,87,40,1.88,US,1612052919
190,Awjilah,29.1081,21.2869,288.0,43,0,5.04,LY,1612053048
191,Harper,4.375,-7.7169,299.11,88,57,4.11,LR,1612053048
192,Puerto Baquerizo Moreno,-0.9,-89.6,298.52,82,0,4.12,EC,1612053048
193,Russell,32.3502,-85.1999,285.15,62,40,2.57,US,1612053005
194,Esperance,-33.8667,121.9,293.15,64,0,6.17,AU,1612053048
195,Lufilufi,-13.8745,-171.5986,303.15,84,90,8.23,WS,1612053049
196,Bom Sucesso,-21.0331,-44.7581,293.08,89,92,2.03,BR,1612053049
197,Garden City,42.3256,-83.331,272.15,59,90,3.09,US,1612053049
198,Hailar,49.2,119.7,246.55,88,100,2.99,CN,1612053049
199,Kerema,-7.9631,145.7785,299.57,78,100,2.2,PG,1612053049
200,Matara,5.9485,80.5353,297.75,85,93,1.64,LK,1612053049
201,Sibolga,1.7427,98.7792,298.2,73,41,1.62,ID,1612053050
202,Dakar,14.6937,-17.4441,293.15,73,100,4.12,SN,1612052458
203,Ciudad Bolivar,8.1222,-63.5497,299.96,70,67,6.28,VE,1612052991
204,Aykhal,66.0,111.5,237.06,80,100,5.81,RU,1612053050
205,Dombarovskiy,50.7587,59.5386,260.15,94,0,2.09,RU,1612053050
206,Jumla,29.2747,82.1838,271.83,57,0,1.57,NP,1612053050
207,Bethel,41.3712,-73.414,267.04,62,1,2.16,US,1612052881
208,Pangnirtung,66.1451,-65.7125,250.14,74,0,0.9,CA,1612052827
209,Terrace,54.5163,-128.6035,269.15,74,90,10.29,CA,1612053051
210,São João da Barra,-21.6403,-41.0511,298.69,78,1,9.69,BR,1612053051
211,Codrington,-38.2667,141.9667,291.52,57,0,3.78,AU,1612053051
212,Hasaki,35.7333,140.8333,278.15,45,20,3.09,JP,1612052838
213,Broken Hill,-31.95,141.4333,298.15,38,48,6.17,AU,1612053052
214,Vestmannaeyjar,63.4427,-20.2734,272.64,94,88,4.01,IS,1612052837
215,Kuril'sk,45.2333,147.8833,266.09,94,100,8.27,RU,1612053052
216,Kushmurun,52.4503,64.6311,261.4,94,90,0.54,KZ,1612053052
217,Kamina,-8.7386,24.9906,291.01,95,100,1.16,CD,1612053052
218,Hobyo,5.3505,48.5268,296.93,79,25,6.57,SO,1612052862
219,Aklavik,68.2191,-135.0107,246.15,76,90,2.57,CA,1612053053
220,Bara,10.3744,10.7288,293.51,25,0,3.49,NG,1612053053
221,Touho,-20.7833,165.2333,299.64,70,6,7.72,NC,1612053053
222,Bonthe,7.5264,-12.505,298.64,85,65,2.81,SL,1612052813
223,Kamaishi,39.2667,141.8833,271.15,64,75,1.54,JP,1612053053
224,Roebourne,-20.7833,117.1333,305.88,49,100,6.47,AU,1612053053
225,Tasiilaq,65.6145,-37.6368,267.15,30,90,7.2,GL,1612052826
226,Benjamin Constant,-4.3831,-70.0311,298.15,100,75,0.67,BR,1612053054
227,Pomabamba,-8.8333,-77.4667,284.26,75,99,0.98,PE,1612053054
228,Otofuke,42.9917,143.2003,268.15,42,20,3.09,JP,1612053054
229,Costineşti,43.95,28.6333,275.93,100,98,4.12,RO,1612053054
230,Harbour Breton,47.4833,-55.7983,271.43,93,100,3.55,CA,1612053054
231,Mount Gambier,-37.8333,140.7667,291.15,59,75,3.6,AU,1612053054
232,La Rioja,42.25,-2.5,277.04,85,70,1.79,ES,1612053055
233,Warmbad,-28.45,18.7333,294.3,41,0,3.51,NA,1612053055
234,Hvolsvollur,63.7533,-20.2243,264.82,70,55,4.02,IS,1612052907
235,Bandarbeyla,9.4942,50.8122,296.28,73,37,6.82,SO,1612052858
236,Fortuna,40.5982,-124.1573,285.37,71,90,8.75,US,1612052828
237,Tiksi,71.6872,128.8694,240.14,86,100,2.24,RU,1612052852
238,Muros,42.7762,-9.0603,285.93,90,100,2.68,ES,1612053055
239,Marsh Harbour,26.5412,-77.0636,292.31,63,100,6.18,BS,1612053056
240,Datong,40.0936,113.2914,268.8,77,0,4.71,CN,1612053056
241,Alyangula,-13.8483,136.4192,303.15,70,55,3.6,AU,1612053056
242,Hualmay,-11.0964,-77.6139,295.03,76,58,4.03,PE,1612053056
243,Martapura,-3.4167,114.85,298.15,94,20,1.03,ID,1612053056
244,Yulin,22.6333,110.15,289.76,80,77,1.25,CN,1612053056
245,Antigonish,45.6169,-61.9986,268.71,80,100,4.02,CA,1612052932
246,Estevan,49.1334,-102.9842,264.15,86,90,3.09,CA,1612053057
247,Port Elizabeth,-33.918,25.5701,290.15,94,0,3.09,ZA,1612052766
248,Lucapa,-8.4192,20.7447,291.61,97,95,0.83,AO,1612053057
249,Lebu,-37.6167,-73.65,287.44,82,1,5.54,CL,1612052860
250,Strzelce Opolskie,50.5107,18.3006,269.82,10,92,1.79,PL,1612053057
251,Hamilton,39.1834,-84.5333,273.71,93,90,5.14,US,1612053004
252,Karratha,-20.7377,116.8463,304.57,49,100,2.74,AU,1612053058
253,Leh,34.1667,77.5833,256.3,58,88,0.64,IN,1612053058
254,Hue,16.4667,107.6,293.15,94,40,1.03,VN,1612052847
255,Sørland,67.667,12.6934,272.39,90,87,3.55,NO,1612052808
256,Buin,-33.7333,-70.75,295.37,82,75,4.63,CL,1612053058
257,Ndjolé,-0.1783,10.7649,296.76,94,98,0.71,GA,1612053059
258,Dhārchula,29.85,80.5333,278.84,40,0,2.76,IN,1612052907
259,Salamiyah,35.0113,37.0532,282.82,65,100,8.31,SY,1612053059
260,Nabire,-3.3667,135.4833,299.73,83,100,0.78,ID,1612052866
261,Ubinskoye,55.3068,79.6802,248.66,86,100,4.29,RU,1612053059
262,Mount Isa,-20.7333,139.5,308.15,28,80,2.57,AU,1612052776
263,Hūn,29.1268,15.9477,287.85,35,0,2.9,LY,1612053060
264,Coos Bay,43.3665,-124.2179,283.15,100,90,2.59,US,1612053060
265,Ancud,-41.8697,-73.8203,288.71,62,0,4.12,CL,1612052842
266,Eureka,40.8021,-124.1637,285.37,87,90,1.54,US,1612052831
267,Fukuechō,32.6881,128.8419,282.15,81,40,1.54,JP,1612053060
268,Wu’an,31.6836,112.0044,282.41,53,100,0.38,CN,1612053061
269,Sistranda,63.7256,8.834,269.15,100,20,2.57,NO,1612052849
270,Cabo Rojo,18.0866,-67.1457,297.04,93,4,0.45,PR,1612053061
271,Alekseyevsk,57.8406,108.3492,234.56,79,100,1.0,RU,1612053061
272,Samarinda,-0.5,117.15,298.6,87,100,1.81,ID,1612053061
273,Freeport,40.6576,-73.5832,272.04,37,1,4.12,US,1612052954
274,Ouahigouya,13.5828,-2.4216,294.5,21,0,4.47,BF,1612053062
